Metropolitan Core Based Statistical Area FIPS Code,Household-type of living quarters,Household-own/rent living quarters,Household-total family income in past 12 months,Demographics-highest level of school completed,Labor Force-employment status,Demographics-sex,Demographics-marital status,Weight-composited final weight,Household-total # of members,Weight-family,Weight-longitudinal weight,Weight-outgoing rotation weight,Weight-second stage weight (rake 6 final step weight),Year,Month
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Married - Spouse Present,930.5309,4,832.3720,0.0000,0.0000,949.5733,2022,jan
"Montgomery, AL","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",9th Grade,Other-Not In Labor Force,Male,Never Married,0.0000,4,3038.6689,0.0000,0.0000,3038.6689,2022,jan
"Riverside-San Bernardino-Ontario, CA","House, Apartment, Flat",Not in Universe,"150,000 or More","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Married - Spouse Present,4965.4804,2,4947.7604,0.0000,0.0000,4947.7604,2024,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Female,Never Married,4474.1174,2,4444.0421,0.0000,0.0000,4444.0421,2022,jan
"Seattle-Tacoma-Bellevue, WA","House, Apartment, Flat",Not in Universe,"60,000 To 74,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Female,Married - Spouse Present,3453.8141,2,3488.0922,5179.5413,13772.3221,3488.0922,2024,jan
"Tampa-St. Petersburg-Clearwater, FL","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",9th Grade,Other-Not In Labor Force,Female,Never Married,0.0000,4,4432.2764,0.0000,0.0000,4432.2764,2023,jan
"Dallas-Fort Worth-Arlington, TX","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"60,000 To 74,999",Some College But No Degree,Employed-At Work,Male,Never Married,5817.3802,4,6032.7295,8941.3558,23338.9047,6032.7295,2023,jan
"Boulder, CO","House, Apartment, Flat",Rented for cash,"150,000 or More","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Never Married,4624.6294,2,4586.8982,0.0000,0.0000,4586.8982,2022,jan
"Boston-Cambridge-Newton, MA-NH","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Employed-At Work,Female,Married - Spouse Present,3591.7290,4,3633.1837,0.0000,0.0000,3633.1837,2023,jan
"Minneapolis-St. Paul-Bloomington, MN-WI","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Never Married,3209.0939,1,3191.8599,4776.3310,12969.9830,3191.8599,2022,jan
0,"House, Apartment, Flat",Rented for cash,"25,000 To 29,999",9th Grade,Employed-At Work,Male,Never Married,2813.7326,3,3161.7855,4686.2120,9881.8259,3161.7855,2023,jan
"Baltimore-Columbia-Towson, MD","House, Apartment, Flat",Rented for cash,"100,000 To 149,999",Some College But No Degree,Employed-At Work,Male,Married - Spouse Present,4846.9304,3,4806.9154,0.0000,0.0000,4884.2885,2023,jan
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Mobile Home Or Trlr W/No Perm Rm Added,Owned Or Being Bought By A Hh Member,"25,000 To 29,999",High School Grad-Diploma Or Equiv (ged),Disabled-Not In Labor Force,Male,Never Married,3096.4411,2,2890.2122,0.0000,0.0000,2890.2122,2023,jan
0,"House, Apartment, Flat",Not in Universe,"15,000 To 19,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,5,3515.6320,0.0000,0.0000,3515.6320,2024,jan
"Boulder, CO","House, Apartment, Flat",Not in Universe,"60,000 To 74,999",Associate Degree-Occupational/Vocationl,Retired-Not In Labor Force,Female,Married - Spouse Present,2876.6230,2,2879.0456,4275.1553,0.0000,2879.0456,2024,jan
"Tucson, AZ",Mh Or Trlr W/1 Or More Perm Rms Added,Not in Universe,"50,000 To 59,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Never Married,5437.2443,3,5502.5506,8155.5724,0.0000,5502.5506,2024,jan
"Salt Lake City, UT","House, Apartment, Flat",Rented for cash,"100,000 To 149,999",11th Grade,Other-Not In Labor Force,Male,Never Married,2088.2884,2,1932.2715,0.0000,9527.6235,1932.2715,2022,jan
0,"House, Apartment, Flat",Not in Universe,"150,000 or More",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Male,Married - Spouse Present,625.7026,13,893.0030,907.6368,0.0000,612.3810,2024,jan
"Washington-Arlington-Alexandria, DC-VA-MD-WV","House, Apartment, Flat",Not in Universe,"100,000 To 149,999",Some College But No Degree,Employed-At Work,Female,Never Married,416.0562,1,414.8610,0.0000,0.0000,414.8610,2024,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"30,000 To 34,999",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Male,Married - Spouse Present,1320.7999,2,1288.5403,1994.9211,0.0000,1333.1380,2022,jan
"Washington-Arlington-Alexandria, DC-VA-MD-WV","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",11th Grade,Other-Not In Labor Force,Male,Never Married,4632.3291,2,4612.4010,6902.0430,0.0000,4612.4010,2022,jan
"Huntsville, AL","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,5,2333.8126,0.0000,0.0000,2333.8126,2022,jan
"Birmingham-Hoover, AL","House, Apartment, Flat",Not in Universe,"60,000 To 74,999",11th Grade,Employed-At Work,Female,Never Married,2675.0952,3,2838.7975,4215.3900,0.0000,2838.7975,2024,jan
0,"House, Apartment, Flat",Not in Universe,"100,000 To 149,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,5,3331.7663,0.0000,0.0000,3331.7663,2024,jan
"New York-Newark-Jersey City, NY-NJ-PA","House, Apartment, Flat",Rented for cash,"60,000 To 74,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,3,3675.9343,0.0000,0.0000,3675.9343,2023,jan
"Burlington-South Burlington, VT","House, Apartment, Flat",Not in Universe,"150,000 or More","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Married - Spouse Present,353.3963,3,481.8325,528.5582,0.0000,356.6173,2024,jan
"Charlotte-Concord-Gastonia, NC-SC","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Retired-Not In Labor Force,Male,Married - Spouse Present,4578.8424,2,4390.3454,6788.2086,0.0000,4580.0019,2023,jan
"San Jose-Sunnyvale-Santa Clara, CA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"30,000 To 34,999",9th Grade,Unemployed-Looking,Male,Married - Spouse Present,7180.3067,3,5128.1201,10677.4454,0.0000,7204.0686,2023,jan
"Tulsa, OK","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"60,000 To 74,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,4,1855.6667,0.0000,0.0000,1855.6667,2023,jan
"Washington-Arlington-Alexandria, DC-VA-MD-WV","House, Apartment, Flat",Not in Universe,"75,000 To 99,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Never Married,435.1991,1,425.1103,630.0747,0.0000,425.1103,2024,jan
"Memphis, TN-MS-AR","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",Associate Deg.-Academic Program,Employed-At Work,Female,Never Married,4499.7694,1,4651.4340,6899.3744,0.0000,4651.4340,2023,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"60,000 To 74,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,4,3683.7554,0.0000,0.0000,3683.7554,2023,jan
"Los Angeles-Long Beach-Anaheim, CA","House, Apartment, Flat",Rented for cash,"20,000 To 24,999",11th Grade,Employed-At Work,Female,Married - Spouse Present,3804.4741,4,3814.6120,5658.1339,15646.5085,3814.6120,2023,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"50,000 To 59,999",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Female,Widowed,1778.3199,1,1854.9221,0.0000,0.0000,1854.9221,2023,jan
"Glens Falls, NY","House, Apartment, Flat",Not in Universe,"12,500 To 14,999",High School Grad-Diploma Or Equiv (ged),Unemployed-Looking,Male,Never Married,4910.3349,1,5419.0144,8031.7596,0.0000,5419.0144,2024,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",High School Grad-Diploma Or Equiv (ged),Disabled-Not In Labor Force,Female,Never Married,415.3392,3,448.3550,671.1269,1723.2618,448.3550,2022,jan
"Chicago-Naperville-Elgin, IL-IN-WI","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,5,3534.2627,0.0000,0.0000,3534.2627,2022,jan
"Stockton-Lodi, CA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"60,000 To 74,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Married - Spouse Present,4453.5557,5,4426.6333,6565.9322,0.0000,4426.6333,2023,jan
"Shreveport-Bossier City, LA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"50,000 To 59,999",High School Grad-Diploma Or Equiv (ged),Disabled-Not In Labor Force,Male,Divorced,1692.3192,2,1715.7048,2542.9165,6725.5846,1715.7048,2023,jan
"Los Angeles-Long Beach-Anaheim, CA","House, Apartment, Flat",Not in Universe,"150,000 or More",Associate Deg.-Academic Program,Unemployed-Looking,Female,Never Married,3535.7950,3,3364.3120,4995.7376,0.0000,3364.3120,2024,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"25,000 To 29,999",Associate Deg.-Academic Program,Retired-Not In Labor Force,Female,Widowed,2864.9588,1,2860.1282,4281.2257,0.0000,2860.1282,2022,jan
0,"House, Apartment, Flat",Rented for cash,"150,000 or More",High School Grad-Diploma Or Equiv (ged),Unemployed-Looking,Male,Never Married,11139.9782,5,10557.7667,0.0000,0.0000,10557.7667,2022,jan
"Charlotte-Concord-Gastonia, NC-SC","House, Apartment, Flat",Rented for cash,"50,000 To 59,999",9th Grade,Other-Not In Labor Force,Female,Never Married,0.0000,5,6183.3558,0.0000,0.0000,6183.3558,2022,jan
"Tallahassee, FL","House, Apartment, Flat",Rented for cash,"100,000 To 149,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Married - Spouse Present,5664.8525,2,5637.2820,8361.6620,0.0000,5637.2820,2023,jan
"Memphis, TN-MS-AR","House, Apartment, Flat",Not in Universe,"12,500 To 14,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Never Married,1827.2366,1,1837.3524,0.0000,0.0000,1837.3524,2024,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"50,000 To 59,999",High School Grad-Diploma Or Equiv (ged),Other-Not In Labor Force,Female,Married - Spouse Present,1111.0229,4,1126.4463,1670.8341,0.0000,1126.4463,2023,jan
"Indianapolis-Carmel-Anderson, IN","House, Apartment, Flat",Not in Universe,"15,000 To 19,999",High School Grad-Diploma Or Equiv (ged),Other-Not In Labor Force,Female,Never Married,13357.7098,5,12949.1758,0.0000,0.0000,12949.1758,2024,jan
"Manchester-Nashua, NH","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,7,998.8102,0.0000,0.0000,998.8102,2022,jan
0,"House, Apartment, Flat",Not in Universe,"15,000 To 19,999",Some College But No Degree,Other-Not In Labor Force,Male,Never Married,1102.0273,5,1090.0498,0.0000,0.0000,1090.0498,2024,jan
0,"House, Apartment, Flat",Not in Universe,"150,000 or More",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,4,666.1730,0.0000,0.0000,666.1730,2024,jan
"Houston-The Woodlands-Sugar Land, TX","House, Apartment, Flat",Rented for cash,"12,500 To 14,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,3,5089.0933,0.0000,0.0000,5089.0933,2022,jan
"Binghamton, NY","House, Apartment, Flat",Rented for cash,"12,500 To 14,999",Associate Deg.-Academic Program,Retired-Not In Labor Force,Female,Married - Spouse Present,3783.9368,2,3756.8807,5572.5023,15133.8097,3756.8807,2023,jan
"Portland-Vancouver-Hillsboro, OR-WA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Divorced,2245.4165,1,2266.9578,3362.5309,0.0000,2266.9578,2023,jan
"New York-Newark-Jersey City, NY-NJ-PA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",7th Or 8th Grade,Retired-Not In Labor Force,Male,Married - Spouse Present,4188.0268,7,4371.1922,0.0000,0.0000,4180.0459,2023,jan
"Billings, MT","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"40,000 To 49,999",Associate Degree-Occupational/Vocationl,Retired-Not In Labor Force,Female,Married - Spouse Present,522.4536,2,517.8012,768.0437,0.0000,517.8012,2023,jan
"Columbus, OH","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"60,000 To 74,999","Bachelor's Degree(ex:ba,ab,bs)",Retired-Not In Labor Force,Female,Widowed,4215.9053,1,4112.1605,6099.4814,16861.4628,4112.1605,2023,jan
0,"House, Apartment, Flat",Not in Universe,"35,000 To 39,999","Bachelor's Degree(ex:ba,ab,bs)",Retired-Not In Labor Force,Female,Married - Spouse Present,3729.2327,2,3784.4551,0.0000,0.0000,3784.4551,2024,jan
0,"House, Apartment, Flat",Not in Universe,"60,000 To 74,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Married - Spouse Present,687.8863,2,844.6033,1074.7780,0.0000,725.1509,2024,jan
"Albuquerque, NM","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999","Professional School Deg(ex:md,dds,dvm)",Retired-Not In Labor Force,Male,Married - Spouse Present,946.0945,2,941.0511,0.0000,0.0000,928.9303,2022,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999",Some College But No Degree,Employed-At Work,Male,Married - Spouse Present,432.7430,2,408.9836,640.6421,0.0000,428.1194,2022,jan
"Las Vegas-Henderson-Paradise, NV","House, Apartment, Flat",Not in Universe,"25,000 To 29,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,4,3669.9817,0.0000,0.0000,3669.9817,2024,jan
"Riverside-San Bernardino-Ontario, CA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Employed-At Work,Male,Married - Spouse Present,5034.5987,5,4847.3371,0.0000,0.0000,5090.1077,2023,jan
"College Station-Bryan, TX","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"15,000 To 19,999",11th Grade,Employed-At Work,Female,Married - Spouse Present,3660.4855,2,3714.6186,0.0000,0.0000,3714.6186,2022,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"30,000 To 34,999",7th Or 8th Grade,Other-Not In Labor Force,Female,Never Married,0.0000,2,6643.5020,0.0000,0.0000,6643.5020,2023,jan
"Louisville/Jefferson County, KY-IN","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"30,000 To 34,999",Some College But No Degree,Employed-At Work,Male,Married - Spouse Present,3924.3081,4,3948.3748,5892.5578,15558.1588,3937.7963,2022,jan
"Topeka, KS","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"40,000 To 49,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Married - Spouse Present,2393.0511,2,1824.8097,0.0000,0.0000,2396.4541,2023,jan
"Sioux Falls, SD","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Employed-At Work,Female,Married - Spouse Present,721.6154,4,720.7218,1069.0315,2868.9755,720.7218,2023,jan
"New York-Newark-Jersey City, NY-NJ-PA","House, Apartment, Flat",Rented for cash,"25,000 To 29,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,6,15248.5808,0.0000,0.0000,15248.5808,2022,jan
"Wichita, KS","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Married - Spouse Present,2117.4652,2,2125.5539,0.0000,0.0000,2125.5539,2022,jan
"Washington-Arlington-Alexandria, DC-VA-MD-WV","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More","Bachelor's Degree(ex:ba,ab,bs)",Other-Not In Labor Force,Female,Married - Spouse Present,4122.7656,3,3948.5503,5856.8017,0.0000,3948.5503,2023,jan
"Minneapolis-St. Paul-Bloomington, MN-WI","House, Apartment, Flat",Not in Universe,"10,000 To 12,499",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,6,2874.0166,0.0000,0.0000,2874.0166,2024,jan
"New York-Newark-Jersey City, NY-NJ-PA","House, Apartment, Flat",Not in Universe,"40,000 To 49,999","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Retired-Not In Labor Force,Male,Widowed,5500.3960,4,5331.4350,7901.9544,0.0000,5331.4350,2024,jan
"Milwaukee-Waukesha-West Allis, WI","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Never Married,3978.4098,5,4006.7416,5995.7281,16079.2765,4006.7416,2022,jan
0,"House, Apartment, Flat",Not in Universe,"30,000 To 34,999",Associate Degree-Occupational/Vocationl,Employed-At Work,Female,Never Married,1317.9886,2,1252.6666,0.0000,0.0000,1252.6666,2024,jan
"Lubbock, TX","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"Less Than $5,000",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,5,4914.7551,0.0000,0.0000,4914.7551,2023,jan
"Stockton-Lodi, CA","House, Apartment, Flat",Not in Universe,"150,000 or More",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Never Married,8374.4800,6,8396.5720,12444.9288,0.0000,8396.5720,2024,jan
0,"House, Apartment, Flat",Rented for cash,"75,000 To 99,999",Some College But No Degree,Employed-At Work,Male,Divorced,1098.3778,2,1107.5005,1657.2748,4567.7655,1107.5005,2022,jan
"Omaha-Council Bluffs, NE-IA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Employed-At Work,Female,Married - Spouse Present,2013.7535,4,2031.9122,3041.4982,0.0000,2031.9122,2022,jan
"Atlanta-Sandy Springs-Roswell, GA","House, Apartment, Flat",Not in Universe,"100,000 To 149,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Divorced,5018.2401,1,4993.9222,7401.7118,19861.3511,4993.9222,2024,jan
"Albany-Schenectady-Troy, NY","House, Apartment, Flat",Not in Universe,"35,000 To 39,999",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Male,Married - Spouse Present,4023.6738,4,4246.3713,6104.8746,0.0000,4118.9484,2024,jan
"Jacksonville, FL","House, Apartment, Flat",Not in Universe,"75,000 To 99,999",Associate Degree-Occupational/Vocationl,Employed-At Work,Male,Never Married,4934.7916,4,4888.2216,0.0000,0.0000,4888.2216,2024,jan
"New York-Newark-Jersey City, NY-NJ-PA","House, Apartment, Flat",Rented for cash,"60,000 To 74,999",Some College But No Degree,Employed-At Work,Female,Never Married,3775.2280,1,3838.4817,5693.5394,15526.2293,3838.4817,2023,jan
0,Mobile Home Or Trlr W/No Perm Rm Added,Not in Universe,"10,000 To 12,499",9th Grade,Retired-Not In Labor Force,Male,Widowed,2446.2064,1,2446.7465,3626.4307,0.0000,2446.7465,2024,jan
0,"House, Apartment, Flat",Not in Universe,"25,000 To 29,999",Some College But No Degree,Retired-Not In Labor Force,Male,Married - Spouse Present,3990.4024,2,4249.0089,0.0000,0.0000,4171.1809,2024,jan
"Washington-Arlington-Alexandria, DC-VA-MD-WV","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Female,Widowed,4293.7876,3,4146.5464,6150.4852,0.0000,4146.5464,2023,jan
"Washington-Arlington-Alexandria, DC-VA-MD-WV","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Employed-At Work,Male,Never Married,391.8157,2,390.0196,0.0000,0.0000,390.0196,2023,jan
"Jackson, MI","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"60,000 To 74,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Never Married,3533.9856,3,3586.2959,5315.3962,0.0000,3586.2959,2023,jan
"Boise City, ID","House, Apartment, Flat",Rented for cash,"35,000 To 39,999",Some College But No Degree,Employed-At Work,Female,Never Married,1195.0110,2,1167.0783,1731.1028,0.0000,1167.0783,2023,jan
"Greenville-Anderson-Mauldin, SC","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Employed-At Work,Female,Married - Spouse Present,3142.1753,4,3239.4945,0.0000,0.0000,3239.4945,2022,jan
"Santa Maria-Santa Barbara, CA","House, Apartment, Flat",Rented for cash,"50,000 To 59,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,2,4720.8476,0.0000,0.0000,4720.8476,2022,jan
"St. Louis, MO-IL","House, Apartment, Flat",Rented for cash,"100,000 To 149,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Female,Married - Spouse Present,3402.8095,2,3424.1863,0.0000,0.0000,3424.1863,2023,jan
0,"House, Apartment, Flat",Not in Universe,"40,000 To 49,999",10th Grade,Employed-At Work,Male,Never Married,3159.6280,5,3255.3700,0.0000,0.0000,3255.3700,2024,jan
0,"House, Apartment, Flat",Rented for cash,"12,500 To 14,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,5,281.3730,0.0000,0.0000,281.3730,2023,jan
"Columbus, GA-AL","House, Apartment, Flat",Rented for cash,"40,000 To 49,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Never Married,6250.1986,1,6421.7036,9525.1781,0.0000,6421.7036,2023,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"40,000 To 49,999",Associate Degree-Occupational/Vocationl,Employed-At Work,Male,Married - Spouse Present,921.5407,4,896.1179,1345.8422,3679.6198,908.0393,2023,jan
"Harrisburg-Carlisle, PA","House, Apartment, Flat",Not in Universe,"30,000 To 34,999",High School Grad-Diploma Or Equiv (ged),Disabled-Not In Labor Force,Female,Never Married,3838.3159,5,3647.2158,5415.8273,0.0000,3647.2158,2024,jan
"Dallas-Fort Worth-Arlington, TX","House, Apartment, Flat",Not in Universe,"35,000 To 39,999",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Male,Married - Spouse Present,4248.9706,2,4233.5748,6144.3354,17277.4870,4145.5725,2024,jan
"Urban Honolulu, HI","House, Apartment, Flat",Rented for cash,"15,000 To 19,999",High School Grad-Diploma Or Equiv (ged),Other-Not In Labor Force,Female,Married - Spouse Present,924.2866,2,940.2228,1394.6127,0.0000,940.2228,2023,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",Some College But No Degree,Employed-Absent,Female,Married - Spouse Present,809.1993,2,816.4305,1222.0863,0.0000,816.4305,2022,jan
0,"House, Apartment, Flat",Rented for cash,"7,500 To 9,999",Associate Deg.-Academic Program,Retired-Not In Labor Force,Male,Married - Spouse Present,3512.0241,3,3223.0905,5302.9901,0.0000,3543.8082,2022,jan
"Riverside-San Bernardino-Ontario, CA","House, Apartment, Flat",Not in Universe,"150,000 or More",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Female,Never Married,3969.7790,7,4041.6039,0.0000,0.0000,4041.6039,2024,jan
"Salisbury, MD-DE","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",High School Grad-Diploma Or Equiv (ged),Other-Not In Labor Force,Male,Never Married,1047.5045,3,1126.1181,1685.1344,0.0000,1126.1181,2022,jan
0,"House, Apartment, Flat",Not in Universe,"10,000 To 12,499","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Married - Spouse Present,854.2862,4,808.6393,0.0000,0.0000,808.6393,2024,jan
"North Port-Sarasota-Bradenton, FL","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"60,000 To 74,999","Bachelor's Degree(ex:ba,ab,bs)",Retired-Not In Labor Force,Male,Married - Spouse Present,3441.9216,2,3948.2275,0.0000,0.0000,3457.0027,2022,jan
0,"House, Apartment, Flat",Not in Universe,"60,000 To 74,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Divorced,3806.0688,1,3710.4202,5509.6809,14445.8657,3710.4202,2024,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"15,000 To 19,999",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Male,Married - Spouse Present,2071.0606,2,1727.5472,3012.0216,8247.1415,2032.2099,2023,jan
0,"House, Apartment, Flat",Rented for cash,"40,000 To 49,999",Associate Deg.-Academic Program,Employed-At Work,Female,Married - Spouse Present,3931.4898,7,3994.8015,5925.4052,16273.1912,3994.8015,2023,jan
"St. Louis, MO-IL","House, Apartment, Flat",Not in Universe,"150,000 or More","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Employed-At Work,Female,Married - Spouse Present,4378.1733,4,4398.4171,6531.3020,0.0000,4398.4171,2024,jan
"Greenville-Anderson-Mauldin, SC","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",10th Grade,Employed-At Work,Male,Never Married,2990.4491,4,3161.5081,4685.8008,0.0000,3161.5081,2023,jan
"Worcester, MA-CT","House, Apartment, Flat",Not in Universe,"35,000 To 39,999",Less Than 1st Grade,Other-Not In Labor Force,Male,Married-Spouse Absent,3087.9038,3,3011.4969,0.0000,0.0000,3011.4969,2024,jan
"Chicago-Naperville-Elgin, IL-IN-WI","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Female,Married - Spouse Present,4051.6913,4,4107.5659,6148.4717,0.0000,4107.5659,2022,jan
"Clarksville, TN-KY","House, Apartment, Flat",Rented for cash,"75,000 To 99,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,6,10769.8544,0.0000,0.0000,10769.8544,2023,jan
0,"House, Apartment, Flat",Not in Universe,"60,000 To 74,999",Some College But No Degree,Employed-At Work,Male,Married - Spouse Present,671.8332,4,693.1059,1014.4861,0.0000,684.4720,2024,jan
"Nashville-Davidson--Murfreesboro--Franklin, TN","House, Apartment, Flat",Rented for cash,"30,000 To 34,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,5,4763.3635,0.0000,0.0000,4763.3635,2023,jan
"East Stroudsburg, PA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Married - Spouse Present,5721.3724,2,3523.9157,8529.2528,0.0000,5699.8101,2022,jan
